timeAdapting,timeNonAdapting,timeOffline,quadraticAdapting,quadraticNonAdapting,quadraticOffline,meanSquaredAdapting,meanSquaredNonAdapting,meanSquaredOffline
549.0,1097.0,548.0,0.43015703558921814,0.4310557544231415,0.4310557544231415,485.9893366523829,487.2569372879425,487.2569372879425
1097.0,1098.0,549.0,0.7292998433113098,0.7294820547103882,0.7294820547103882,15.275486647148682,15.909712909186965,15.909712909186965
548.0,1098.0,549.0,0.23612268269062042,0.23679335415363312,0.23679335415363312,-231.68213991825723,-229.4776258658867,-229.4776258658867
549.0,1097.0,1097.0,0.28154659271240234,0.28123149275779724,0.28123149275779724,-177.49186791407647,-177.99209803172516,-177.99209803172516
1097.0,1097.0,548.0,0.5218926668167114,0.5217684507369995,0.5217684507369995,483.6078039427048,487.6202503433715,487.6202503433715
1097.0,1097.0,1645.0,0.9531508684158325,0.9516156315803528,0.9516156315803528,1027.948334225047,1024.882385732274,1024.882385732274
1097.0,549.0,549.0,0.43015703558921814,0.4310557544231415,0.4310557544231415,556.9893366523829,558.2569372879425,558.2569372879425
549.0,1097.0,549.0,0.7015219330787659,0.7036183476448059,0.7036183476448059,-1994.818968192555,-1998.626324623654,-1998.626324623654
1097.0,1097.0,1097.0,0.4648037850856781,0.46760499477386475,0.46760499477386475,-37.3309103760389,-36.32188331794214,-36.32188331794214
1097.0,1097.0,1097.0,0.6546931266784668,0.6556957364082336,0.6556957364082336,-1553.400699817013,-1555.0057453291502,-1555.0057453291502
548.0,549.0,548.0,0.7631509900093079,0.7594062685966492,0.7594062685966492,1009.6713532361955,1008.2289841944539,1008.2289841944539
549.0,549.0,548.0,0.732761561870575,0.7350208163261414,0.7350208163261414,-1476.6845835541699,-1479.730275871474,-1479.730275871474
549.0,549.0,548.0,0.8025800585746765,0.8020006418228149,0.8020006418228149,1228.599300182987,1226.9942546708498,1226.9942546708498
549.0,1097.0,1097.0,1.0564192533493042,1.057776927947998,1.057776927947998,1393.6713532361955,1392.228984194454,1392.228984194454
1098.0,548.0,549.0,0.8231294751167297,0.8235918283462524,0.8235918283462524,-2390.8082253775374,-2391.9149560256524,-2391.9149560256524
1097.0,1097.0,549.0,0.7090253829956055,0.7092756628990173,0.7092756628990173,-2207.1469209939014,-2208.519756608811,-2208.519756608811
548.0,1097.0,549.0,0.42686983942985535,0.42492562532424927,0.42492562532424927,372.393924614531,365.67783913092717,365.67783913092717
549.0,1646.0,1098.0,0.47182199358940125,0.4714225232601166,0.4714225232601166,-245.24820105254548,-251.72639590245308,-251.72639590245308
1097.0,549.0,548.0,0.47182199358940125,0.4714225232601166,0.4714225232601166,641.7517989474545,635.2736040975469,635.2736040975469
1097.0,6034.0,1098.0,0.3330446481704712,0.3394565284252167,0.3394565284252167,-845.2468919929152,-854.6392793915256,-854.6392793915256
1097.0,549.0,549.0,0.4300553798675537,0.4310557544231415,0.4310557544231415,485.92797074658665,487.2569372879425,487.2569372879425
1097.0,1097.0,549.0,0.6723862290382385,0.6722177863121033,0.6722177863121033,104.80659362828828,101.22210144814198,101.22210144814198
1097.0,548.0,1097.0,0.4694255292415619,0.4704648554325104,0.4704648554325104,-1495.1934063717117,-1498.777898551858,-1498.777898551858
548.0,548.0,549.0,0.8095820546150208,0.8082764744758606,0.8082764744758606,-1579.588352150512,-1579.2776145939379,-1579.2776145939379
1097.0,1097.0,1098.0,0.38886305689811707,0.3876896798610687,0.3876896798610687,844.8414306338404,841.8930834406092,841.8930834406092
1097.0,1097.0,1098.0,0.7654915452003479,0.7590163350105286,0.7590163350105286,1462.9566603037524,1458.1795558090228,1458.1795558090228
1097.0,1097.0,1097.0,0.4694255292415619,0.4704648554325104,0.4704648554325104,-1039.1934063717117,-1042.777898551858,-1042.777898551858
1097.0,1097.0,1097.0,0.61640465259552,0.6161239147186279,0.6161239147186279,-138.7120610928123,-134.68197316564874,-134.68197316564874
