@relation HandActions

@attribute GameStage {pf,fp,tn,rv}
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute LastAction {f,k,c,b1,b2,b3}
@attribute Action {f,k,c,b1,b2,b3}

@data
tn,36,7,k,k
tn,0,9,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,14,6,k,k
tn,14,8,k,k
rv,0,10,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,10,6,b1,k
tn,10,7,k,k
rv,10,9,k,k
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,k,b1
tn,72,9,k,k
rv,0,11,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,34,6,b1,k
tn,34,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,k,b1
fp,0,5,k,b1
tn,84,7,k,k
rv,84,9,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,28,7,b1,k
rv,28,9,k,k
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
fp,0,5,k,b1
tn,0,7,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,k,b1
tn,0,9,k,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,10,6,b1,k
tn,10,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,k,b1
tn,0,9,k,b1
rv,0,12,k,b1
pf,4,3,k,k
fp,4,4,k,k
tn,0,6,k,b1
rv,12,8,k,k
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,0,2,b1,f
pf,0,3,k,b1
fp,0,5,k,b1
tn,0,7,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,14,6,k,k
tn,14,8,k,k
rv,20,10,b1,k
pf,0,3,b1,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,k,b1
pf,0,2,b1,b1
pf,36,4,b1,k
fp,0,6,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
rv,24,8,k,k
rv,0,10,b1,f
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,4,9,k,k
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,0,3,k,b1
pf,0,2,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,4,3,k,k
fp,4,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,36,4,b1,k
fp,36,6,k,k
tn,0,8,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,0,4,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,b1
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
fp,0,5,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,b1,f
