@relation HandActions

@attribute GameStage {pf,fp,tn,rv}
@attribute PotSize numeric
@attribute ActionCount numeric
@attribute LastAction {f,k,c,b1,b2,b3}
@attribute Action {f,k,c,b1,b2,b3}

@data
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
fp,4,5,k,k
tn,0,7,k,b1
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,34,6,b1,k
tn,34,7,k,k
rv,0,9,k,b1
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,3,k,b1
fp,12,5,k,k
tn,12,7,k,k
tn,32,9,b1,k
rv,32,10,k,k
rv,58,12,b1,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,30,7,b1,k
rv,54,9,b1,k
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,3,k,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,k,b1
fp,12,5,k,k
tn,12,7,k,k
tn,32,9,b1,k
rv,32,10,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,30,7,b1,k
rv,30,9,k,k
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,34,6,b1,k
tn,34,7,k,k
rv,34,9,k,k
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,3,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,30,7,b1,k
rv,30,9,k,k
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,4,2,b1,k
fp,4,5,k,k
tn,0,7,k,b1
rv,0,10,k,b1
pf,0,3,b1,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,b1,f
pf,0,3,b1,b1
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,k,b1
fp,12,5,k,k
tn,12,7,k,k
rv,12,9,k,k
rv,0,11,b1,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,4,2,b1,k
pf,16,4,b1,k
fp,16,6,k,k
tn,0,8,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
tn,8,8,k,k
rv,0,10,b1,f
pf,10,3,b1,k
fp,10,4,k,k
fp,26,6,b1,k
tn,26,7,k,k
rv,0,9,k,b1
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,k,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
rv,24,8,k,k
pf,0,2,b1,b1
pf,0,3,b1,b1
fp,84,5,k,k
tn,84,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,k,b1
rv,0,10,k,b1
pf,0,3,k,b1
fp,12,5,k,k
tn,0,7,k,b1
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,k,b1
fp,0,5,k,b1
pf,0,2,b1,b1
pf,0,3,k,b1
pf,84,5,b1,k
fp,84,6,k,k
fp,0,8,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
rv,0,8,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,k,b1
pf,0,2,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,3,b1,b1
fp,36,5,k,k
fp,70,7,b1,k
tn,70,8,k,k
tn,178,10,b1,k
rv,178,11,k,k
pf,0,2,b1,b1
pf,0,3,k,b1
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,b1,b1
rv,184,10,b1,k
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
rv,24,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
tn,28,8,b1,k
rv,28,9,k,k
rv,0,11,b1,f
pf,0,2,b1,b1
pf,0,4,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
tn,28,8,b1,k
rv,28,9,k,k
rv,0,11,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,2,b1,b1
fp,28,5,k,k
tn,66,7,b1,k
rv,66,9,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,b1
fp,0,5,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,12,6,k,k
tn,12,8,k,k
rv,0,10,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,26,6,b1,k
tn,26,7,k,k
tn,70,9,b1,k
rv,70,10,k,k
rv,124,12,b1,k
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,22,6,b1,k
tn,22,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,32,7,b1,k
rv,0,9,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,36,6,b1,k
tn,36,7,k,k
tn,92,9,b1,k
rv,92,10,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,10,3,b1,k
fp,0,4,k,b1
tn,24,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,44,6,k,k
tn,44,8,k,k
rv,0,10,k,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
tn,0,8,k,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,24,6,b1,k
tn,24,7,k,k
tn,0,9,b1,b1
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,k,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,2,b1,b1
pf,0,2,b1,b1
fp,0,5,k,b1
tn,0,8,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,f
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
rv,10,10,b1,k
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,4,2,b1,k
fp,0,5,b1,f
pf,0,3,b1,f
pf,0,2,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,k,b1
pf,0,3,b1,b1
fp,84,5,k,k
tn,0,7,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
rv,90,10,b1,k
pf,0,2,b1,b1
pf,0,3,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
rv,36,8,k,k
rv,0,10,b1,b1
pf,0,2,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,2,b1,b1
pf,0,3,k,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
pf,36,4,b1,k
fp,74,6,b1,k
tn,74,8,k,k
rv,74,10,k,k
pf,0,3,k,b1
fp,0,5,k,b1
pf,0,2,b1,b1
pf,4,3,k,k
fp,0,4,k,b1
tn,0,6,k,b1
pf,0,2,b1,b1
fp,0,5,k,b1
pf,4,3,k,k
fp,4,4,k,k
fp,0,6,b1,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,10,8,b1,k
rv,10,9,k,k
rv,0,11,b1,b1
pf,0,2,b1,b1
pf,0,3,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,4,3,k,k
fp,4,4,k,k
fp,10,6,b1,k
tn,10,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,k,b1
rv,36,10,k,k
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,38,6,b1,k
tn,38,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,12,9,k,k
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,2,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
rv,0,8,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,8,9,b1,k
pf,14,3,b1,k
fp,14,4,k,k
fp,38,6,b1,k
tn,38,7,k,k
tn,0,9,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
tn,8,8,k,k
rv,0,10,b1,f
pf,0,3,k,b1
fp,0,5,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,3,b1,b1
fp,36,5,k,k
tn,0,7,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,0,9,k,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,36,6,b1,k
tn,36,7,k,k
tn,96,9,b1,k
rv,96,10,k,k
rv,0,12,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,b1,f
pf,0,3,b1,f
pf,0,2,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,k,b1
pf,28,5,b1,k
fp,28,6,k,k
fp,58,8,b1,k
tn,58,9,k,k
rv,58,11,k,k
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,10,6,b1,k
tn,10,7,k,k
tn,28,9,b1,k
rv,28,10,k,k
pf,0,2,b1,f
pf,0,3,b1,b1
pf,4,2,b1,k
fp,0,5,k,b1
tn,8,8,k,k
rv,12,10,b1,k
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
rv,0,10,b1,b1
pf,0,2,b1,b1
fp,0,5,k,b1
tn,24,8,k,k
rv,0,10,k,b1
pf,0,3,k,b1
pf,0,2,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,36,6,b1,k
tn,36,7,k,k
rv,36,9,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,0,9,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,26,6,b1,k
tn,26,7,k,k
rv,26,9,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,12,9,k,k
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
tn,38,8,b1,k
rv,38,9,k,k
pf,4,2,b1,k
fp,0,5,k,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
fp,0,5,k,b1
pf,4,3,k,k
fp,4,4,k,k
tn,0,6,k,b1
rv,8,8,k,k
pf,0,2,b1,b1
fp,0,5,k,b1
tn,24,8,k,k
rv,34,10,b1,k
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
fp,0,5,k,b1
pf,4,3,k,k
fp,4,4,k,k
fp,12,6,b1,k
tn,12,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
tn,0,8,k,b1
rv,0,11,k,b1
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,4,8,k,k
pf,0,2,b1,b1
fp,0,5,k,b1
tn,0,8,k,b1
pf,0,3,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,38,6,b1,k
tn,38,7,k,k
rv,38,9,k,k
pf,0,2,b1,b1
fp,0,5,k,b1
tn,24,8,k,k
rv,34,10,b1,k
pf,0,3,b1,f
pf,0,2,b1,f
pf,0,3,k,b1
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,0,9,k,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,34,6,b1,k
tn,34,7,k,k
rv,34,9,k,k
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
pf,4,2,b1,k
fp,0,5,k,b1
tn,0,8,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,12,6,b1,k
tn,12,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,0,6,b1,f
pf,0,2,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,44,6,k,k
tn,44,8,k,k
rv,0,10,k,b1
pf,0,3,b1,b1
pf,88,5,b1,k
fp,88,6,k,k
tn,88,8,k,k
tn,224,10,b1,k
rv,224,11,k,k
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,0,2,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
fp,36,5,k,k
tn,0,7,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,12,6,k,k
tn,12,8,k,k
rv,16,10,b1,k
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,4,2,b1,k
fp,0,5,k,b1
fp,0,7,b1,f
pf,0,3,b1,b1
pf,0,2,b1,b1
fp,0,5,k,b1
tn,24,8,k,k
rv,24,10,k,k
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
rv,24,8,k,k
rv,0,10,b1,f
pf,0,2,b1,f
pf,0,2,b1,f
pf,0,3,k,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
tn,8,8,k,k
rv,8,10,k,k
pf,0,3,k,b1
fp,0,5,k,b1
fp,0,7,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,12,8,b1,k
rv,12,9,k,k
rv,22,11,b1,k
pf,0,2,b1,b1
pf,44,4,b1,k
fp,96,6,b1,k
tn,0,8,b1,b1
tn,800,10,b1,k
rv,800,12,k,k
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
rv,10,8,k,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,0,8,b1,f
pf,0,2,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,f
pf,0,3,k,b1
fp,12,5,k,k
tn,0,7,k,b1
pf,0,2,b1,f
pf,0,3,b1,b1
fp,0,5,k,b1
fp,180,7,b1,k
tn,180,8,k,k
rv,0,10,k,b1
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,12,6,b1,k
tn,12,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,36,4,b1,k
fp,78,6,b1,k
tn,78,8,k,k
rv,78,10,k,k
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
tn,0,6,k,b1
pf,0,2,b1,f
pf,0,3,k,b1
pf,4,2,b1,k
pf,0,4,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,12,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,94,6,b1,k
tn,216,8,b1,k
rv,216,10,k,k
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,0,8,b1,f
pf,0,2,b1,f
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,24,6,b1,k
tn,24,7,k,k
rv,0,9,k,b1
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,0,9,b1,f
pf,10,3,b1,k
fp,10,4,k,k
tn,10,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
fp,0,5,k,b1
tn,0,8,k,b1
pf,0,3,b1,f
pf,4,2,b1,k
pf,14,4,b1,k
fp,14,6,k,k
tn,0,8,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
rv,38,10,b1,k
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,26,6,b1,k
tn,26,7,k,k
tn,0,9,b1,b1
pf,4,2,b1,k
pf,14,4,b1,k
fp,0,6,k,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
fp,8,6,b1,k
tn,8,7,k,k
tn,20,9,b1,k
rv,20,10,k,k
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,36,6,b1,k
tn,36,7,k,k
rv,36,9,k,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,0,7,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,36,6,b1,k
tn,36,7,k,k
tn,0,9,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,16,9,b1,k
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,0,2,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,16,9,b1,k
pf,0,3,b1,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,4,2,b1,k
fp,0,5,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,0,3,b1,b1
fp,36,5,k,k
tn,36,7,k,k
tn,0,9,b1,b1
tn,800,11,b1,k
rv,800,12,k,k
pf,0,2,b1,b1
fp,0,5,k,b1
tn,0,8,k,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,b1
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,0,9,k,b1
pf,4,3,k,k
fp,0,4,k,b1
pf,4,2,b1,k
fp,4,5,k,k
tn,4,7,k,k
rv,8,9,b1,k
pf,0,3,b1,f
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
tn,40,8,b1,k
rv,40,9,k,k
rv,72,11,b1,k
pf,0,2,b1,f
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
rv,38,10,b1,k
pf,0,2,b1,b1
fp,12,5,k,k
tn,12,7,k,k
rv,16,9,b1,k
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,b1,b1
fp,0,5,k,b1
tn,0,7,k,b1
rv,0,9,k,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,14,3,b1,k
fp,14,4,k,k
tn,14,6,k,k
rv,14,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
rv,0,8,k,b1
pf,0,2,b1,b1
pf,44,4,b1,k
fp,44,6,k,k
tn,0,8,k,b1
rv,0,11,k,b1
pf,14,3,b1,k
fp,0,4,k,b1
tn,0,6,k,b1
rv,48,8,k,k
rv,0,10,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,k,b1
pf,4,2,b1,k
pf,12,4,b1,k
fp,12,6,k,k
tn,12,8,k,k
rv,0,10,b1,f
pf,14,3,b1,k
fp,14,4,k,k
fp,38,6,b1,k
tn,38,7,k,k
rv,38,9,k,k
pf,4,2,b1,k
pf,0,4,b1,f
pf,0,3,b1,f
pf,0,2,b1,b1
pf,36,4,b1,k
fp,0,6,b1,f
pf,0,2,b1,b1
fp,0,5,k,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
pf,14,3,b1,k
fp,14,4,k,k
fp,38,6,b1,k
tn,38,7,k,k
rv,38,9,k,k
pf,0,2,b1,b1
pf,44,4,b1,k
fp,44,6,k,k
tn,106,8,b1,k
rv,106,10,k,k
pf,4,3,k,k
fp,4,4,k,k
tn,4,6,k,k
tn,0,8,b1,f
pf,0,2,b1,b1
pf,0,3,b1,f
pf,0,2,b1,b1
pf,0,4,b1,f
pf,0,3,k,b1
fp,0,5,k,b1
fp,0,7,b1,f
pf,0,2,b1,b1
pf,44,4,b1,k
fp,0,6,k,b1
tn,108,9,k,k
rv,108,11,k,k
pf,14,3,b1,k
fp,14,4,k,k
tn,0,6,k,b1
pf,0,2,b1,b1
fp,0,5,k,b1
pf,0,3,k,b1
fp,0,5,k,b1
pf,0,2,b1,b1
pf,10,3,b1,k
fp,10,4,k,k
fp,0,6,b1,f
pf,4,2,b1,k
pf,16,4,b1,k
fp,0,6,b1,f
pf,4,3,k,k
fp,4,4,k,k
fp,0,6,b1,f
pf,0,2,b1,b1
