@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute ActingPlayerOnButton {true,false}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
k,4,0,0,k,k,true,0,2,2,fp,0
k,4,0,0,k,k,true,0,2,3,tn,0
c,6,0,1,k,b1,true,0,2,3,rv,1
k,14,0,1,c2,k,true,0,2,0,fp,1
k,14,0,1,k,k,true,0,3,2,tn,1
f,17,0,2,k,b1,true,0,3,3,rv,2
b2,12,1,1,c2,k,true,1,2,0,fp,2
k,12,0,1,c2,b2,false,0,1,0,fp,1
b2,12,1,1,k,k,false,0,2,2,tn,2
b1,36,2,1,b2,c2,false,0,2,2,rv,3
k,4,0,0,k,k,true,1,2,0,fp,0
b1,4,1,0,k,k,true,2,2,2,tn,1
k,14,0,1,c2,b2,false,3,1,2,fp,1
f,25,0,2,k,b2,false,3,1,2,fp,2
k,14,0,1,c2,b2,false,1,1,0,fp,1
f,23,0,2,k,b1,false,1,1,0,fp,2
b2,36,2,1,b2,c2,false,2,1,2,fp,3
k,4,0,0,k,k,true,1,1,2,fp,0
k,4,0,0,k,k,true,2,2,2,tn,0
k,4,0,0,k,k,true,3,2,2,rv,0
k,12,1,0,b2,k,true,0,2,2,fp,1
b2,12,2,0,k,k,true,0,2,2,tn,2
k,48,2,0,b2,k,true,1,2,2,rv,2
b1,12,2,0,b2,k,true,2,1,2,fp,2
c,42,2,1,b1,b2,true,2,1,2,fp,3
f,102,2,2,c2,b1,true,3,2,2,tn,4
b1,12,2,0,b2,k,true,0,1,0,fp,2
k,24,2,0,b1,k,true,1,2,2,tn,2
c,29,2,1,k,b1,true,2,2,2,rv,3
k,10,0,1,c2,b2,false,1,3,0,fp,1
k,10,0,1,k,k,false,2,4,0,tn,1
f,19,0,2,k,b2,false,2,4,0,tn,2
k,14,0,1,c2,b2,false,1,2,2,fp,1
b1,14,1,1,k,k,false,2,2,2,tn,2
k,24,1,1,b1,c2,false,3,2,2,rv,2
b2,12,2,0,b2,k,true,2,1,0,fp,2
c,57,1,2,c2,b1,true,1,2,0,fp,3
f,128,1,3,c2,b1,true,1,2,0,tn,4
b2,48,2,1,b2,c2,false,1,1,0,fp,3
b2,192,3,1,b2,c2,false,1,2,2,tn,4
f,640,3,2,b2,b3,false,1,2,2,tn,5
k,14,0,1,c2,b2,false,2,2,2,fp,1
k,14,0,1,k,k,false,2,2,2,tn,1
k,14,0,1,k,k,false,2,2,2,rv,1
b2,12,2,0,b2,k,true,1,1,2,fp,2
b2,30,3,0,b2,k,true,2,2,2,tn,3
k,4,0,0,k,k,false,0,1,2,fp,0
k,4,0,0,k,k,false,0,1,2,tn,0
k,4,0,0,k,k,false,1,2,2,rv,0
f,7,0,1,k,b2,false,1,2,2,rv,1
k,14,0,1,c2,b2,false,3,1,0,fp,1
c,25,0,2,k,b2,false,3,1,0,fp,2
k,36,0,2,c2,b2,false,3,2,0,tn,2
f,67,0,3,k,b2,false,3,2,0,tn,3
b1,12,2,0,b2,c2,false,0,1,3,fp,2
c,46,2,1,b1,b2,false,0,1,3,fp,3
k,68,2,1,c2,b2,false,0,2,3,tn,3
c,125,2,2,k,b2,false,0,2,3,tn,4
k,182,2,2,c2,b2,false,0,2,3,rv,4
f,250,2,3,k,b1,false,0,2,3,rv,5
b1,4,1,0,k,k,true,0,2,2,fp,1
k,4,0,0,k,k,true,1,1,0,fp,0
k,4,0,0,k,k,true,1,2,2,tn,0
f,6,0,1,k,b1,true,1,3,2,rv,1
k,14,0,1,c2,b2,false,1,1,0,fp,1
b1,14,1,1,k,k,false,1,2,0,tn,2
k,12,1,0,b2,k,true,1,1,0,fp,1
b1,19,2,1,k,b1,true,1,1,0,tn,3
k,10,0,1,c2,b2,false,2,1,0,fp,1
f,17,0,2,k,b1,false,2,1,0,fp,2
k,14,0,1,c2,b2,false,2,1,0,fp,1
k,14,0,1,k,k,false,2,2,0,tn,1
b1,14,1,1,k,k,false,2,2,0,rv,2
k,12,1,0,b2,k,true,1,3,0,fp,1
k,12,1,0,k,k,true,1,3,0,tn,1
c,14,1,1,k,b1,true,1,3,0,rv,2
k,12,1,0,b2,k,true,1,1,0,fp,1
b2,12,2,0,k,k,true,2,2,3,tn,2
b2,36,3,0,b2,k,true,3,2,3,rv,3
k,14,0,1,c2,b2,false,3,2,0,fp,1
k,14,0,1,k,k,false,3,2,0,tn,1
c,26,0,2,k,b2,false,3,2,0,tn,2
k,38,0,2,c2,b2,false,4,2,0,rv,2
f,54,0,3,k,b1,false,4,2,0,rv,3
b1,4,1,0,k,k,true,1,2,0,fp,1
k,8,1,0,b1,k,true,1,2,2,tn,1
f,10,1,1,k,b1,true,1,3,2,rv,2
f,27,0,2,c2,b2,true,2,2,0,fp,2
k,4,0,0,k,k,false,1,2,0,fp,0
f,7,0,1,k,b2,false,1,2,0,fp,1
k,10,0,1,c2,b2,false,2,2,0,fp,1
k,10,0,1,k,k,false,2,2,2,tn,1
b1,10,1,1,k,k,false,2,2,3,rv,2
k,14,0,1,c2,b2,false,3,1,2,fp,1
c,24,0,2,k,b2,false,3,1,2,fp,2
k,34,0,2,c2,b2,false,3,2,2,tn,2
f,62,0,3,k,b2,false,3,2,2,tn,3
k,14,0,1,c2,k,true,1,2,0,fp,1
k,14,0,1,k,k,true,1,2,0,tn,1
b1,14,1,1,k,k,true,1,3,2,rv,2
b1,4,1,0,k,k,true,0,2,2,fp,1
c,31,0,2,c2,b2,true,2,2,0,fp,2
k,46,0,2,c2,k,true,3,2,0,tn,2
b2,46,1,2,k,k,true,3,3,0,rv,3
k,14,0,1,c2,b2,false,1,2,2,fp,1
