@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
824643,72,1,2,false,?,c,807984,false,1
34167552,8,1,0,false,?,k,17413376,false,1
33827840,26,2,0,false,?,k,17091152,false,1
84579872,562,1,4,false,?,b2,759312,false,1
17025360,24,2,0,false,?,k,17024016,false,1
34159616,17,1,1,false,?,k,17025296,false,1
16951680,16,2,0,false,?,b1,694304,false,1
34216704,36,2,0,false,?,b1,16889952,false,1
34036480,26,0,2,true,?,k,17283408,false,1
33901312,12,0,1,false,?,c,17152064,false,1
763747,19,1,1,false,?,k,684832,false,1
17082480,44,1,2,false,?,c,685106,false,1
16956048,24,2,0,false,?,b1,16955920,false,1
101236736,38,2,0,false,?,k,50907904,false,1
829812,4,0,0,false,?,k,829761,false,1
829811,4,0,0,false,?,k,694066,false,1
17091216,29,2,1,false,?,k,829763,false,1
755523,36,0,2,false,?,c,738080,false,1
51025920,36,1,1,false,?,c,17470768,false,1
16960400,6,0,1,false,?,k,824882,false,1
34317056,24,0,2,true,?,k,17478160,false,1
34235648,60,2,1,false,?,c,17458464,false,1
17156192,10,1,0,false,?,k,820819,false,1
33831936,19,1,1,false,?,k,17077008,false,1
33962752,42,1,2,true,?,k,17020448,false,1
17480032,32,0,2,true,?,k,693810,false,1
50702336,8,1,0,false,?,k,50700800,false,1
50514176,42,1,2,false,?,c,16959824,false,1
16960400,10,1,0,false,?,k,758560,false,1
17601856,8,0,1,false,?,c,17585152,false,1
84579376,14,0,2,false,?,c,17011712,false,1
34024448,125,2,2,true,?,b1,16947008,false,1
17348416,36,1,1,false,?,k,754704,false,1
829554,25,1,1,false,?,k,829217,false,1
17339984,14,1,1,false,?,k,624211,false,1
17222544,38,2,0,false,?,k,759653,false,1
17155936,114,1,2,false,?,c,484672,false,1
17156736,18,0,2,true,?,k,689747,false,1
84370737,432,2,2,false,?,c,16868672,false,1
16955984,4,0,0,false,?,k,16950576,false,1
33897216,24,2,0,false,?,k,17151536,false,1
17549904,24,0,2,false,?,c,17549888,false,1
34212608,14,1,1,false,?,k,16824928,false,1
17090928,36,1,1,false,?,c,17090304,false,1
17484160,26,0,2,true,?,k,17471536,false,1
67633152,44,1,2,false,?,c,821092,false,1
34210816,48,3,0,false,?,b1,672528,false,1
33831168,66,1,2,true,?,k,607008,false,1
33762304,17,0,2,false,?,k,17003008,false,1
33971200,36,2,0,false,?,b2,17212720,false,1
33692416,24,2,0,false,?,b1,16942352,false,1
34110208,10,1,1,false,?,k,17283712,false,1
33954304,24,1,1,false,?,k,33952768,false,1
17353312,4,0,0,false,?,k,17344080,false,1
834199,508,2,3,false,?,k,759601,false,1
16889680,36,0,2,false,?,k,750641,false,1
51095296,36,2,0,false,?,k,17540960,false,1
17025872,14,1,1,false,?,k,17020224,false,1
17418832,25,1,1,false,?,k,824641,false,1
834199,36,2,0,false,?,b2,834163,false,1
17602128,800,1,2,false,?,k,615729,false,1
33823488,47,0,3,false,?,c,17069584,false,1
16823616,324,2,2,false,?,b2,16823584,false,1
34212864,30,2,0,false,?,k,16829008,false,1
16894528,6,0,1,false,?,k,16884512,false,1
84711252,72,0,3,true,?,k,17156352,false,1
34236160,26,2,0,false,?,b2,17212416,false,1
67895296,300,1,4,true,?,b2,833857,false,1
17352544,7,0,1,true,?,k,820802,false,1
17148256,7,0,1,true,?,k,693843,false,1
34355712,24,2,0,false,?,b1,17606704,false,1
17287520,38,2,0,false,?,k,825187,false,1
17458480,36,1,1,false,?,c,17453824,false,1
17025408,7,0,1,true,?,k,824643,false,1
17286192,36,1,1,false,?,b2,816160,false,1
16820336,18,0,2,true,?,k,553744,false,1
17216816,6,0,1,false,?,k,746802,false,1
17221968,6,0,1,false,?,k,824915,false,1
34228992,17,1,1,false,?,k,17086976,false,1
833926,108,1,2,false,?,c,755266,false,1
693842,19,1,1,true,?,k,692752,false,1
17611104,72,3,0,false,?,b2,833859,false,1
17353296,36,2,0,false,?,k,689475,false,1
17024592,17,1,1,false,?,k,17024272,false,1
67633152,598,2,4,false,?,c,829556,false,1
34024192,19,1,1,false,?,k,17282336,false,1
51038464,25,2,1,true,?,b1,17484096,false,1
833378,36,1,1,false,?,k,746000,false,1
34093312,38,2,0,false,?,b2,623666,false,1
34383872,17,0,2,false,?,k,17483824,false,1
34228992,24,1,1,false,?,c,17087008,false,1
33831680,32,2,0,false,?,k,17085984,false,1
34019584,36,1,2,false,?,c,16871936,false,1
17606224,36,1,1,false,?,c,17606144,false,1
17283680,7,0,1,true,?,k,763681,false,1
51021312,4,0,0,false,?,k,51012352,false,1
16950864,96,1,3,false,?,c,676641,false,1
67436544,18,0,2,true,?,k,480306,false,1
17607040,36,2,0,false,?,b2,17606912,false,1
34094080,14,1,1,false,?,k,17012816,false,1
16824976,8,1,0,false,?,k,763680,false,1
764294,54,2,1,false,?,k,763457,false,1
33896960,44,1,2,false,?,c,17016128,false,1
34154496,37,0,3,true,?,k,17400064,false,1
820803,72,0,3,true,?,k,820752,false,1
833653,19,0,2,false,?,k,820512,false,1
17540688,18,0,2,true,?,k,17540688,false,1
17090400,14,1,0,false,?,k,17090400,false,1
17283712,88,2,1,false,?,k,17270032,false,1
17536592,72,1,2,false,?,c,746785,false,1
34169344,37,0,3,true,?,k,17392128,false,1
33950720,10,0,1,false,?,c,17191424,false,1
34311168,44,1,1,false,?,k,17541232,false,1
34285056,92,2,1,false,?,b2,16933936,false,1
34232576,205,1,4,true,?,k,694389,false,1
34211584,10,1,1,false,?,k,17462528,false,1
34024192,34,2,0,false,?,k,16955136,false,1
33819392,14,1,1,false,?,k,17073664,false,1
33822720,24,1,1,false,?,c,17069584,false,1
33823232,24,0,2,true,?,k,693281,false,1
17017200,14,1,0,false,?,k,694100,false,1
34097664,48,3,0,false,?,b1,17343536,false,1
16829072,85,2,2,false,?,k,16818976,false,1
67305472,10,1,0,false,?,k,406032,false,1
34311168,14,1,1,false,?,k,17549872,false,1
17217600,84,2,2,false,?,b1,746545,false,1
34097920,4,0,0,false,?,k,17347616,false,1
16960416,10,1,0,false,?,k,16956032,false,1
829012,36,2,0,false,?,b2,812355,false,1
759926,4,0,0,false,?,k,759906,false,1
17484160,91,0,4,true,?,k,17470496,false,1
67436544,53,1,2,false,?,k,67436544,false,1
17537136,108,2,1,false,?,b2,759923,false,1
17156976,4,0,0,false,?,k,17155872,false,1
17286448,4,0,0,false,?,k,17257216,false,1
17286736,12,1,0,false,?,k,17261872,false,1
833876,4,0,0,false,?,k,758817,false,1
34097920,36,2,0,false,?,k,34095616,false,1
17353616,14,1,1,false,?,k,833909,false,1
17409888,26,2,0,false,?,k,694114,false,1
50640896,14,1,1,false,?,k,50628096,false,1
34215936,19,1,1,false,?,k,17465600,false,1
33756672,6,0,1,true,?,k,16998656,false,1
34159360,34,2,0,false,?,k,759107,false,1
16960400,26,0,2,true,?,k,16955760,false,1
33623040,29,1,2,false,?,k,16885760,false,1
33688320,12,1,0,false,?,k,33686528,false,1
67305472,14,1,1,false,?,k,67305472,false,1
33691648,32,1,2,true,?,b1,554273,false,1
17348448,14,0,2,false,?,c,755521,false,1
17409872,8,0,1,true,?,k,694100,false,1
16816240,36,0,2,false,?,c,16816144,false,1
17082160,14,1,0,false,?,k,475937,false,1
67305472,36,1,2,false,?,c,406032,false,1
764022,8,1,0,false,?,b1,763456,false,1
17479776,24,2,0,false,?,b2,764004,false,1
34032128,52,2,1,false,?,k,17069344,false,1
834182,25,1,1,false,?,k,834176,false,1
84650098,28,2,0,false,?,k,84650098,false,1
34221056,24,2,0,false,?,k,34220288,false,1
34364160,76,3,0,false,?,b2,17610304,false,1
34318336,55,2,1,false,?,k,17479696,false,1
