@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute ActingPlayerOnButton {true,false}
@attribute LastActionObservingPlayer {f,k,c,b1,b2,b3}
@attribute LastActionActingPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric

@data
834182,72,1,2,true,b1,c,1,0,4,1
825188,12,1,0,false,k,k,1,0,2,2
34351616,72,3,0,false,k,k,2,0,2,1
17021520,16,1,1,false,b2,c,2,0,2,1
17606480,12,1,0,false,k,k,2,0,2,1
34224896,8,1,0,false,k,k,3,2,2,1
624212,10,1,0,false,k,k,1,0,3,1
34228992,582,3,3,false,b2,c,2,0,2,1
17549616,36,2,0,false,k,k,3,0,2,1
833924,21,1,1,false,b1,c,2,0,3,1
17349152,4,0,0,false,k,k,1,1,3,1
16960400,12,1,0,false,k,k,2,0,2,1
34236672,36,2,1,false,k,k,2,1,2,2
17606768,126,1,2,false,b1,c,2,0,2,1
67567616,36,0,3,false,b1,c,0,1,2,1
84720208,12,0,1,false,k,k,3,0,3,1
34315264,378,2,3,true,b2,c,3,0,3,1
17585200,36,2,0,false,k,k,1,0,2,2
50444544,15,1,1,false,b1,c,2,1,3,1
34212864,8,1,0,false,k,k,3,1,2,1
84562721,16,2,0,false,k,k,2,1,3,1
34236672,42,1,1,false,b1,c,2,1,2,2
829827,12,1,0,false,k,k,2,0,2,2
67764224,80,3,0,false,k,k,2,1,2,3
17213760,72,3,0,false,k,k,2,1,2,1
17017200,6,0,1,false,b1,c,2,0,3,1
34232320,48,2,1,false,k,k,1,1,3,1
694372,96,1,2,true,b1,c,1,0,2,1
67829760,48,3,0,false,k,k,2,0,2,1
17156976,6,0,1,false,b1,c,1,1,3,1
50513664,60,1,2,false,k,k,0,3,2,1
17353040,4,0,0,false,k,k,1,1,2,1
34036736,14,1,1,false,b1,c,0,2,2,1
67698688,216,1,4,false,b1,c,1,1,2,1
34379264,800,4,2,false,k,k,2,2,3,1
694099,8,1,0,false,k,k,2,0,3,1
33758208,90,0,3,false,k,k,2,1,2,1
17611072,72,0,4,false,b1,c,2,0,2,1
17541472,68,2,1,false,k,k,3,0,3,2
17213824,4,0,0,false,k,k,1,1,2,1
829831,12,1,0,false,k,k,3,0,2,2
84576100,112,1,3,false,b2,c,0,0,4,2
17589552,192,4,1,true,b2,c,1,0,2,2
17598272,84,0,3,false,k,k,1,0,3,1
16959872,34,0,2,false,k,k,1,0,2,1
17536864,12,1,1,false,b1,c,2,1,2,1
17287824,4,0,0,false,k,k,2,0,2,1
50628352,24,2,0,false,k,k,0,1,2,2
34314240,24,0,2,false,k,k,3,1,3,1
17467232,16,2,0,false,k,k,1,0,2,2
17606768,72,2,1,false,k,k,2,1,3,1
33901568,800,3,2,false,k,k,2,1,2,1
17549408,36,1,2,true,b1,c,2,1,2,1
17090672,36,2,0,false,k,k,0,1,3,1
17090896,4,0,0,false,k,k,1,1,2,1
34224896,72,0,3,true,b2,c,2,0,3,1
51156992,48,2,1,false,k,k,2,1,3,1
84579922,36,2,0,false,k,k,1,1,4,1
134545408,14,1,0,false,k,k,0,0,5,4
825445,14,1,1,false,b1,c,1,0,3,1
17287552,72,1,2,false,k,k,2,0,2,2
17274432,48,2,1,false,b2,c,1,0,3,1
33761536,220,2,2,true,b2,c,1,1,2,1
17025632,508,2,3,true,b3,c,2,0,2,1
17152544,54,0,3,false,b1,c,1,0,3,3
17279296,100,3,0,false,k,k,2,0,4,1
51024896,469,3,2,false,b3,c,3,1,2,1
17143360,24,1,1,false,b2,c,1,0,3,3
824898,10,0,1,false,k,k,2,0,2,2
34343680,40,1,2,false,b2,c,3,0,3,1
833927,6,0,1,false,b1,c,3,0,4,1
17204544,10,1,1,false,b1,c,0,0,3,2
100896768,800,1,2,false,k,k,2,3,3,1
16894064,4,0,0,false,k,k,1,1,2,1
17148256,20,1,1,false,b2,c,1,1,3,1
51021568,800,2,1,false,k,k,2,1,3,1
33954304,24,2,0,false,k,k,0,1,3,2
17017168,36,0,2,false,k,k,0,1,2,2
17283168,54,1,2,false,b1,c,0,0,3,2
825445,800,2,2,false,k,k,1,0,2,1
34363904,72,0,3,false,b2,c,2,0,3,1
101232640,800,2,2,false,k,k,1,3,2,1
67502080,800,0,2,false,k,k,2,0,3,1
764278,4,0,0,false,k,k,1,0,2,2
33622528,8,1,0,false,k,k,1,1,2,2
67895296,18,1,1,false,k,k,2,1,2,1
34289152,18,0,2,false,b1,c,1,1,2,1
17021280,16,0,1,false,k,k,1,1,3,1
17155632,12,1,0,false,k,k,0,1,3,2
16894880,18,1,1,true,b1,c,3,0,2,1
17606992,4,0,0,false,k,k,2,0,2,1
17418832,88,1,2,true,b2,c,2,1,2,1
84707153,54,0,3,true,b1,c,3,1,3,1
17282368,72,3,0,false,k,k,0,1,2,2
833927,10,0,1,false,k,k,2,0,3,1
17353632,28,2,0,false,k,k,2,0,2,1
34036480,48,3,0,false,k,k,1,1,2,2
51156992,24,0,3,false,b1,c,3,1,2,1
51104256,800,3,2,false,k,k,4,1,2,1
17016944,12,1,0,false,k,k,1,0,3,1
17536848,36,0,3,false,b1,c,2,0,2,1
16890224,4,0,0,false,k,k,1,1,2,2
84580402,4,0,0,false,k,k,2,0,4,3
34245376,12,1,0,false,k,k,2,2,2,1
84640816,36,2,1,false,b1,c,2,1,4,1
17279280,8,1,0,false,k,k,2,0,3,1
34289408,28,1,2,false,b1,c,2,1,2,1
50971904,12,1,0,false,k,k,3,1,3,1
17549904,18,1,1,true,b1,c,3,0,2,1
34314240,12,1,0,false,k,k,3,1,3,1
17221680,36,0,3,true,b1,c,1,0,2,2
34342656,800,2,3,false,k,k,1,0,2,1
17392960,24,1,1,false,b2,c,1,0,3,3
17419136,544,2,3,true,b2,c,2,0,3,1
34375936,48,2,1,false,b2,c,2,1,2,1
50501632,252,1,3,false,k,k,1,0,3,3
17274976,12,1,0,false,k,k,0,0,2,2
50706688,60,1,2,false,k,k,2,0,4,2
17348944,778,1,4,false,b1,c,1,0,2,1
17091472,12,1,0,false,k,k,2,1,3,1
33893120,88,1,2,false,k,k,1,1,2,1
17152048,6,0,1,false,b1,c,1,0,2,1
17409600,7,0,1,true,b2,c,2,0,3,1
33958656,144,2,2,false,k,k,1,1,2,1
16946992,36,0,3,false,b1,c,1,0,3,2
17287504,36,2,0,false,k,k,1,1,2,1
17483824,36,1,1,false,k,k,1,0,3,2
67698688,6,0,1,false,b1,c,1,0,3,3
550210,8,0,1,false,k,k,0,0,2,2
17073712,4,0,0,false,k,k,0,0,2,2
17152112,10,0,1,false,k,k,1,0,2,2
17467200,108,1,3,false,b1,c,1,0,2,2
17549920,48,1,1,false,k,k,2,1,3,1
17589296,8,0,1,false,k,k,1,0,4,1
34155520,14,1,0,false,k,k,3,1,3,2
84579088,8,0,1,true,b2,c,2,0,4,1
51152128,72,3,0,false,k,k,2,1,4,1
17217360,4,0,0,false,k,k,1,0,3,1
759923,36,2,0,false,k,k,2,0,3,1
17541232,8,1,0,false,k,k,2,0,2,1
50763520,6,0,1,false,b1,c,1,1,3,1
17549680,800,3,2,false,k,k,3,0,2,1
820803,48,2,1,false,k,k,0,0,2,2
33753344,800,2,2,false,k,k,1,0,3,2
17090656,26,2,0,false,k,k,0,1,2,1
34360064,608,2,4,false,b1,c,3,1,3,1
16960144,24,1,1,false,k,k,2,1,2,1
17025680,8,1,0,false,k,k,3,0,2,1
16885872,8,0,1,false,k,k,1,1,3,1
17528400,14,0,2,false,b1,c,1,0,2,1
34109952,48,0,3,false,k,k,1,1,2,2
17273904,144,2,1,false,k,k,1,1,2,1
34233088,24,1,1,false,k,k,2,1,3,1
17419120,96,2,1,false,k,k,3,1,2,1
17606224,4,0,0,false,k,k,2,1,3,1
17151840,10,1,0,false,k,k,0,0,3,3
101335040,800,1,2,false,k,k,3,1,2,1
821092,4,0,0,false,k,k,1,0,3,1
17017200,6,0,1,false,b1,c,2,0,3,1
17532496,14,0,2,false,b1,c,1,0,3,1
16820576,7,0,1,true,b2,c,2,0,3,1
34247936,144,2,1,false,k,k,2,1,3,1
17287824,24,2,0,false,k,k,2,0,2,1
67305472,20,0,2,false,b2,c,2,0,2,1
17410160,12,1,0,false,k,k,2,0,2,2
17091472,4,0,0,false,k,k,2,1,2,1
16960080,18,0,2,true,b1,c,1,1,3,1
33889280,6,0,1,false,b1,c,2,0,3,1
17549936,29,1,2,true,b2,c,3,1,2,1
17021280,8,0,1,false,k,k,1,0,2,2
17483856,14,1,1,false,b2,c,2,0,2,1
33622784,24,2,0,false,k,k,0,1,3,2
16829040,22,1,1,true,b2,c,1,1,2,1
16894592,6,0,1,false,b1,c,1,1,2,2
33949440,40,2,0,false,k,k,0,1,3,1
755557,4,0,0,false,k,k,1,0,2,1
17156448,10,1,1,false,b1,c,2,0,2,1
833893,24,2,0,false,k,k,2,0,3,1
17073952,18,0,2,true,b1,c,0,0,2,3
17218160,30,0,2,false,k,k,1,0,2,1
833893,7,0,1,true,b2,c,2,0,2,2
33688576,14,1,1,false,b1,c,1,1,3,1
17213824,8,1,0,false,k,k,2,0,2,2
17021584,4,0,0,false,k,k,2,1,2,1
17283728,8,0,1,false,k,k,2,1,3,1
764261,162,1,3,false,b1,c,3,0,2,2
34298368,180,1,3,false,k,k,2,1,3,1
17222256,547,1,4,false,b2,c,2,0,2,1
67567616,12,1,0,false,k,k,0,0,3,3
17025936,36,2,0,false,k,k,2,0,2,1
825445,8,0,1,false,b2,c,1,0,2,1
17091168,14,1,1,false,b1,c,2,0,2,2
17086576,6,0,1,false,b1,c,1,0,2,2
16877120,12,0,2,false,b1,c,0,1,2,1
17348976,36,1,1,false,k,k,1,0,2,1
17220928,4,0,0,false,k,k,1,1,2,1
17147696,12,0,2,false,b1,c,0,1,2,2
690004,6,0,1,false,b1,c,1,0,3,1
101285888,562,2,3,false,b2,c,3,1,3,2
17610848,18,1,1,false,b1,c,2,0,2,1
17611136,132,1,1,false,k,k,3,0,2,1
16820064,6,0,1,false,b1,c,1,0,3,1
16829344,10,1,0,false,k,k,2,0,2,1
17419168,26,2,0,false,k,k,3,0,2,1
16829040,51,1,2,true,b2,c,1,1,2,1
16946992,4,0,0,false,k,k,1,0,3,2
16894608,4,0,0,false,k,k,2,1,2,2
17340256,10,0,1,false,k,k,1,0,3,1
101105664,48,3,0,false,k,k,2,2,3,1
34302208,24,0,2,false,k,k,3,1,2,1
17352000,36,0,2,false,k,k,1,0,3,1
67895296,108,1,2,false,k,k,3,0,2,1
34311168,8,1,0,false,k,k,2,1,3,1
16951120,4,0,0,false,k,k,1,1,2,1
34306048,24,0,2,true,b2,c,1,1,3,1
17287824,162,1,3,false,b1,c,2,0,2,1
16955504,12,1,0,false,k,k,1,0,2,1
17091472,36,2,0,false,k,k,2,1,2,1
829558,24,2,0,false,k,k,2,0,2,1
17348944,288,2,2,true,b1,c,1,0,2,1
34024448,11,0,2,false,b1,c,1,1,2,1
17484128,24,1,1,false,k,k,2,0,3,1
16942928,24,0,2,false,k,k,0,0,3,1
34387712,28,1,1,false,b2,c,3,1,2,1
759925,54,2,1,false,b1,c,0,0,2,2
17480064,82,1,2,false,k,k,3,1,2,2
67502080,54,0,3,true,b1,c,1,0,2,2
34175744,252,2,1,false,k,k,2,0,2,2
34155008,86,1,2,false,k,k,3,1,2,1
16890240,4,0,0,false,k,k,2,0,2,2
17471584,4,0,0,false,k,k,3,1,2,2
33819648,36,1,1,false,k,k,1,1,3,1
67698688,12,1,0,false,k,k,2,0,3,1
17471056,16,1,1,false,b2,c,1,0,2,1
17414768,84,1,1,false,k,k,2,0,3,1
33967104,30,1,2,false,b1,c,1,0,2,1
825445,14,1,0,false,k,k,1,0,2,2
17396768,40,1,2,true,b2,c,1,0,3,3
34081792,14,1,1,false,b1,c,2,1,3,1
16894592,6,0,1,false,b1,c,1,1,2,2
17536832,28,1,1,false,k,k,2,0,3,1
34102272,24,1,1,false,b2,c,1,2,2,1
101064704,24,2,0,false,k,k,1,3,2,1
17353616,108,1,2,false,k,k,2,0,2,2
34311168,6,0,1,false,b1,c,3,1,2,1
100945920,28,2,1,false,b2,c,1,3,2,1
17483600,12,1,0,false,k,k,2,0,4,2
16960368,72,2,1,false,k,k,1,1,2,2
834195,24,2,0,false,k,k,3,0,2,2
763730,4,0,0,false,k,k,1,0,3,1
34306560,48,0,3,true,b1,c,2,1,2,1
17016928,18,1,1,false,b1,c,1,0,2,1
17213824,14,0,1,false,k,k,1,1,2,1
16829072,14,1,0,false,k,k,2,1,2,1
16960128,16,0,1,false,k,k,1,1,2,1
34236160,8,0,1,false,b2,c,2,1,2,1
17353584,14,1,0,false,k,k,2,0,2,1
51155712,12,1,0,false,k,k,3,3,2,1
764278,64,0,2,false,b3,c,1,0,3,1
34375424,130,1,3,true,b1,c,2,2,3,1
834198,72,1,2,false,k,k,3,0,3,2
17532496,8,0,1,false,k,k,2,1,2,2
34028288,68,2,2,true,b1,c,1,1,2,2
67698688,6,0,1,false,b1,c,2,0,2,2
84497424,12,1,0,false,k,k,1,1,4,1
17156464,72,1,2,false,k,k,1,0,2,2
17537136,16,0,2,true,b2,c,2,0,3,1
17349264,17,0,2,true,b1,c,2,0,2,1
834198,12,1,0,false,k,k,3,0,2,1
17091200,12,1,0,false,k,k,1,0,2,1
833091,8,1,0,false,k,k,2,0,2,1
17348160,4,0,0,false,k,k,0,1,2,1
34151424,8,1,0,false,k,k,3,1,3,1
16960416,4,0,0,false,k,k,2,1,2,1
17152624,28,1,0,false,k,k,1,1,3,1
17287808,88,3,1,true,b2,c,1,0,2,1
764277,40,0,2,false,k,k,3,0,2,2
67829760,40,1,2,true,b2,c,3,1,2,1
34015744,6,0,1,false,b1,c,2,1,3,1
17222272,36,2,1,false,b1,c,1,1,2,1
834199,64,0,2,false,b3,c,3,0,2,1
34388224,18,1,1,false,b1,c,4,1,2,1
833909,4,0,0,false,k,k,2,0,3,1
33893376,56,1,2,false,k,k,2,1,2,1
33884928,22,2,0,false,k,k,0,2,2,1
16820304,12,0,1,false,k,k,0,0,3,1
84649538,562,3,2,true,b2,c,2,0,4,1
16824640,24,1,1,false,k,k,1,0,2,2
67895296,800,1,1,false,k,k,3,0,4,1
17610864,72,3,0,false,k,k,3,1,2,1
33691392,18,0,2,false,b1,c,0,0,3,2
34020096,20,0,2,true,b2,c,1,1,3,1
84719987,96,0,4,true,b2,c,4,1,4,1
17479744,48,0,3,true,b2,c,3,1,2,1
84715570,800,2,4,false,k,k,0,1,3,1
17540400,4,0,0,false,k,k,2,1,2,1
17147696,7,0,1,true,b2,c,0,0,3,2
16868656,800,2,0,false,k,k,0,1,2,3
17540944,72,3,0,false,k,k,2,0,2,1
34019840,24,2,0,false,k,k,0,1,2,2
17152384,24,0,2,true,b2,c,2,0,2,1
34316800,800,0,2,false,k,k,3,1,2,1
833347,24,1,1,false,k,k,1,0,2,1
17288032,36,2,0,false,k,k,2,0,2,1
17353632,4,0,0,false,k,k,3,0,2,1
17484688,17,0,2,false,b1,c,4,1,2,1
16815968,44,1,1,false,k,k,0,1,3,1
834181,12,1,0,false,k,k,2,0,2,1
17152048,8,0,1,false,b2,c,1,0,2,1
34022400,106,2,2,true,b2,c,0,1,2,2
34233344,36,1,2,true,b1,c,4,1,2,1
17470784,36,2,0,false,k,k,2,0,2,1
51038464,164,1,1,false,k,k,3,0,3,3
34101760,48,1,2,true,b2,c,1,0,2,1
33762304,19,0,2,false,b1,c,1,1,2,1
34380288,24,1,1,false,b2,c,3,1,2,1
829012,6,0,1,false,b1,c,1,0,3,1
34224128,36,2,1,false,b1,c,2,1,3,1
17418864,30,1,1,false,k,k,2,1,3,1
624194,8,1,0,false,k,k,1,0,3,3
17348432,72,2,1,false,k,k,1,0,2,1
34302976,43,2,1,false,b1,c,2,1,2,1
34108672,18,1,1,false,b1,c,0,1,2,1
17480064,4,0,0,false,k,k,3,1,3,1
17535776,48,0,3,true,b2,c,2,0,2,3
17400880,14,0,1,false,k,k,1,0,3,2
17012816,24,2,0,false,k,k,1,1,2,1
34233344,24,0,2,false,k,k,2,1,2,1
101351424,24,2,0,false,k,k,2,2,2,1
17527856,72,2,1,false,k,k,1,0,3,2
833636,4,0,0,false,k,k,2,0,2,1
17016928,24,2,0,false,k,k,1,0,2,1
17082464,12,1,0,false,k,k,1,0,2,2
34109952,36,0,3,false,b1,c,1,1,2,2
50898432,32,2,0,false,k,k,1,0,4,1
17213552,17,0,2,false,b1,c,1,0,2,1
833108,4,0,0,false,k,k,1,0,2,2
67764224,12,1,0,false,k,k,2,0,2,1
17090128,12,1,0,false,k,k,0,0,2,2
84510545,119,3,1,false,b2,c,0,0,3,1
16820592,12,1,0,false,k,k,1,1,2,1
34367232,16,0,2,false,b2,c,0,2,2,1
34089728,18,1,1,false,b1,c,1,1,3,1
34036224,56,2,1,true,b2,c,1,0,2,1
17484608,135,2,2,false,b1,c,2,0,3,2
17152656,28,1,0,false,k,k,1,1,3,1
17025904,4,0,0,false,k,k,0,1,2,1
17349232,28,2,0,false,k,k,2,0,3,1
17606496,54,1,2,true,b1,c,2,0,3,1
17279040,18,0,2,true,b1,c,0,1,2,1
34028544,12,0,1,false,k,k,1,0,2,1
764020,6,0,1,false,b1,c,2,0,2,1
16828528,72,3,0,false,k,k,1,1,2,2
834183,54,0,3,true,b1,c,3,0,2,1
34219776,18,0,2,true,b1,c,1,1,2,1
16824432,12,1,0,false,k,k,1,0,2,1
84650341,48,1,1,false,k,k,2,0,3,1
17090928,14,0,2,false,b1,c,2,0,2,1
17274432,8,1,0,false,k,k,0,0,4,1
17348976,18,0,2,true,b1,c,1,1,3,1
67502080,7,0,1,true,b2,c,0,0,2,4
834146,6,0,1,false,b1,c,2,0,2,1
16868672,16,2,0,false,k,k,0,0,2,3
16890512,4,0,0,false,k,k,2,1,3,1
17090400,8,1,0,false,k,k,1,0,3,1
34027008,8,0,1,false,k,k,0,1,3,1
17606768,616,1,5,true,b1,c,1,0,2,1
16824912,8,0,1,true,b2,c,1,0,2,2
17156416,36,2,0,false,k,k,1,0,2,3
834196,26,0,2,true,b2,c,3,0,3,2
34092544,8,1,0,false,k,k,0,1,3,1
34314240,12,1,0,false,k,k,3,1,3,1
34157824,8,1,0,false,k,k,2,1,2,2
51069440,144,3,1,true,b2,c,2,1,2,3
34363136,36,2,1,false,b1,c,2,1,3,1
16816240,26,2,0,false,k,k,1,1,2,1
67305472,36,0,3,true,b1,c,2,0,3,1
17082208,24,2,0,false,k,k,1,1,2,1
16960416,48,0,3,false,k,k,2,1,2,1
101163008,40,0,2,false,k,k,1,2,2,1
33900800,4,0,0,false,k,k,0,2,2,2
17156752,12,0,1,false,k,k,2,0,3,2
34286080,20,1,1,false,b1,c,4,1,2,2
821093,12,1,0,false,k,k,1,0,3,1
33888768,12,0,2,false,b1,c,0,1,2,2
34360064,547,3,3,false,b2,c,3,1,3,1
17148288,4,0,0,false,k,k,2,1,2,1
17347360,4,0,0,false,k,k,1,0,3,2
16824944,24,2,0,false,k,k,1,1,2,1
34015488,683,2,4,false,b1,c,0,1,2,1
33831680,10,1,1,false,b1,c,1,1,2,2
33884160,108,2,1,false,k,k,0,1,2,1
34347520,16,1,1,false,k,k,3,1,2,1
34032128,29,2,1,false,b1,c,0,2,2,1
689747,10,1,0,false,k,k,1,0,2,1
33966336,144,3,0,false,k,k,0,2,2,2
17467200,8,0,1,true,b2,c,1,0,4,1
17353632,60,1,2,false,k,k,2,0,3,1
17157024,37,0,3,true,b1,c,2,1,2,1
17532496,508,3,2,false,b3,c,0,0,2,1
17016384,72,1,2,false,k,k,1,0,2,1
34363648,36,2,0,false,k,k,3,1,2,1
764277,10,0,1,false,k,k,3,0,3,2
17541232,18,0,2,true,b1,c,2,0,2,1
16820336,4,0,0,false,k,k,1,1,2,1
34155264,18,1,1,false,b1,c,2,1,3,1
17091200,7,0,1,true,b2,c,2,0,2,1
16815952,4,0,0,false,k,k,1,0,2,1
763459,4,0,0,false,k,k,2,0,2,1
67895296,36,0,3,true,b1,c,4,1,2,2
84711251,24,2,0,false,k,k,2,3,3,1
16824672,6,0,1,false,b1,c,1,0,2,1
17016944,507,3,2,true,b3,c,0,1,2,1
17607024,8,1,0,false,k,k,4,1,2,1
33883648,8,0,1,false,k,k,0,1,2,2
829268,12,1,0,false,k,k,2,0,2,1
17090864,48,0,3,false,k,k,1,0,2,2
833381,22,1,1,true,b1,c,1,0,3,1
17218160,29,2,1,false,b1,c,2,0,2,1
