@relation HandActions

@attribute PlayerAction {f,k,c,b1,b2,b3}
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric
@attribute GameStage {pf,fp,tn,rv}

@data
k,56,1,1,false,k,b2,17322496,false,1,tn
k,56,1,1,false,k,k,17331488,false,1,rv
c,7,0,1,true,b2,?,0,false,1,pf
b2,10,1,1,true,b2,c,798976,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,462848,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
b2,14,1,1,true,b2,c,833792,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,8,0,1,false,b2,c,0,false,1,pf
b2,12,1,1,false,k,c,824320,false,1,fp
f,153,1,2,false,b2,b2,824320,false,1,fp
c,8,0,1,true,b2,?,0,false,1,pf
b2,12,1,1,true,b2,c,671744,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,828160,false,1,fp
c,51,1,1,false,b2,b2,828160,false,1,fp
c,117,1,2,false,b1,c,17482496,false,1,tn
c,219,1,3,false,b1,c,17484080,false,1,rv
k,4,0,0,true,c,?,0,false,1,pf
b2,4,1,0,true,c,k,737536,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
b2,14,1,1,false,k,c,741632,false,1,fp
c,7,0,1,true,b2,?,0,false,1,pf
b2,10,1,1,true,b2,c,340224,false,1,fp
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,619008,false,1,fp
b3,28,2,0,false,k,b2,619552,false,1,tn
c,7,0,1,true,b2,?,0,false,1,pf
b2,10,1,1,true,b2,c,615680,false,1,fp
k,70,1,1,true,c,b2,824912,false,1,tn
k,70,1,1,true,k,k,824916,false,1,rv
c,124,1,2,true,b2,k,824916,false,1,rv
c,3,0,0,false,?,?,0,false,1,pf
b2,4,1,0,false,k,c,764160,false,1,fp
c,7,0,1,true,b2,?,0,false,1,pf
b2,10,1,1,true,b2,c,807424,false,1,fp
k,42,1,1,true,c,b2,824608,false,1,tn
f,65,1,2,true,b1,k,824608,false,1,tn
c,3,0,0,false,?,?,0,false,1,pf
c,9,0,1,false,b2,c,0,false,1,pf
b2,14,1,1,false,k,c,688384,false,1,fp
c,9,0,1,true,b2,?,0,false,1,pf
