@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountActingPlayer numeric
@attribute BetCountObservingPlayer numeric
@attribute ActingPlayerOnButton {true,false}
@attribute LastActionObservingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute LastActionActingPlayer {f,k,c1,c2,b1,b2,b3}
@attribute FaceCards numeric
@attribute DeckSuited numeric
@attribute DeckConnectors numeric
@attribute GameStage {pf,fp,tn,rv}
@attribute TotalActionCount numeric

@data
{0 4901,1 204,2 2,3 1,5 k,6 k,7 6630,8 3,9 1,10 rv,11 9}
{0 2765,1 28,2 2,4 false,5 k,6 k,7 3939,8 2,9 1,10 rv,11 8}
{0 2680,1 70,2 1,3 1,5 k,6 k,7 5401,8 2,9 1,10 rv,11 8}
{0 4925,1 98,2 1,3 1,4 false,5 k,6 k,7 6779,8 2,9 1,10 rv,11 9}
{0 1913,1 56,2 1,3 1,4 false,5 k,6 k,7 4378,8 2,9 1,10 rv,11 8}
{0 2480,1 160,2 3,3 1,4 false,5 c2,6 b1,7 3781,8 2,9 1,10 rv,11 9}
{0 4020,1 70,2 2,3 1,5 k,6 b2,7 6519,8 3,9 2,10 rv,11 8}
{0 5457,1 16,3 1,4 false,5 k,6 k,7 7341,8 3,9 4,10 rv,11 8}
{0 5409,1 124,2 3,3 1,5 k,6 b1,7 7076,8 2,9 1,10 rv,11 9}
{0 2480,1 108,2 1,3 2,4 false,5 b2,6 k,7 3809,8 2,9 1,10 rv,11 9}
{0 2689,1 12,2 1,3 1,4 false,5 k,6 b1,7 6724,8 3,9 1,10 rv,11 7}
{0 2633,1 487,2 3,3 2,5 b3,6 c1,7 6207,8 2,9 1,10 rv,11 11}
{0 5097,1 30,2 1,3 1,4 false,5 c2,6 k,7 7140,8 2,9 1,10 rv,11 7}
{0 3328,1 14,2 1,5 k,6 k,7 3400,8 2,9 1,10 rv,11 8}
{0 5325,1 86,2 1,3 2,5 b1,6 c2,7 5473,8 3,9 1,10 rv,11 9}
{0 4208,1 32,3 3,5 b2,6 c2,7 6888,8 2,9 1,10 rv,11 8}
{0 4208,1 36,3 2,4 false,5 b2,6 k,7 6283,8 2,9 1,10 rv,11 8}
{0 5968,1 36,3 2,4 false,5 k,6 k,7 5996,8 2,9 1,10 rv,11 8}
{0 3930,1 4,4 false,5 k,6 k,7 3930,8 2,9 2,10 rv,11 7}
{0 6266,1 24,3 2,4 false,5 k,6 k,7 6588,8 2,9 1,10 rv,11 8}
{0 2589,1 28,2 1,3 1,5 k,6 b2,7 6226,8 3,9 1,10 rv,11 8}
{0 3986,1 26,2 2,5 k,6 k,7 6252,8 2,9 1,10 rv,11 9}
{0 5584,1 40,2 2,5 k,6 k,7 6992,8 2,9 3,10 rv,11 9}
{0 4869,1 50,2 1,3 2,4 false,5 b2,6 c2,7 6961,8 2,9 1,10 rv,11 9}
{0 5316,1 32,3 2,5 k,6 k,7 6408,8 2,9 1,10 rv,11 9}
{0 6068,1 4,4 false,5 k,6 k,7 7070,8 3,9 2,10 rv,11 7}
{0 1499,1 48,2 1,3 1,5 b2,6 c2,7 7359,8 3,9 1,10 rv,11 9}
{0 6295,1 6,3 1,4 false,5 b1,6 c2,7 6965,8 3,9 1,10 rv,11 9}
{0 2481,1 34,2 2,3 1,4 false,5 b2,6 c2,7 3413,8 3,9 1,10 rv,11 10}
{0 4772,1 10,2 1,5 k,6 k,7 4773,8 2,9 1,10 rv,11 9}
{0 3887,1 84,3 2,5 k,6 k,7 7073,8 2,9 1,10 rv,11 9}
{0 3656,1 28,2 1,3 1,4 false,5 c2,6 k,7 6838,8 3,9 1,10 rv,11 7}
{0 2813,1 472,2 1,3 4,4 false,5 b3,6 c1,7 5945,8 2,9 3,10 rv,11 12}
{0 6002,1 12,3 1,5 k,6 k,7 6644,8 2,9 3,10 rv,11 8}
{0 6202,1 14,2 2,4 false,5 k,6 b1,7 6304,8 2,9 1,10 rv,11 8}
{0 5803,1 19,2 1,3 1,5 b1,6 c2,7 5864,8 3,9 1,10 rv,11 8}
{0 5203,1 4,4 false,5 k,6 k,7 5219,8 2,9 1,10 rv,11 7}
{0 6687,1 36,2 1,3 1,4 false,5 k,6 k,7 6960,8 3,9 1,10 rv,11 8}
{0 6388,1 8,3 1,4 false,5 k,6 k,7 7105,8 2,9 1,10 rv,11 8}
{0 6367,1 6,3 1,4 false,5 b1,6 c2,7 6533,8 2,9 2,10 rv,11 9}
{0 6388,1 4,5 k,6 k,7 6406,8 2,9 1,10 rv,11 8}
{0 2644,1 10,2 1,5 k,6 k,7 3566,8 3,9 1,10 rv,11 8}
{0 6358,1 10,2 1,5 k,6 k,7 7038,8 2,9 1,10 rv,11 8}
{0 5160,1 24,3 2,4 false,5 k,6 k,7 7396,8 2,9 3,10 rv,11 8}
{0 5414,1 6,3 1,5 b1,6 c2,7 7351,8 2,9 2,10 rv,11 8}
{0 5545,1 24,2 2,5 k,6 k,7 5549,8 3,9 1,10 rv,11 9}
{0 6938,1 12,2 1,3 1,4 false,5 k,6 b1,7 6938,8 2,9 3,10 rv,11 7}
{0 5003,1 82,2 3,5 k,6 k,7 7313,8 2,9 1,10 rv,11 10}
{0 4220,1 17,2 1,3 1,5 b1,6 c2,7 4334,8 2,9 1,10 rv,11 8}
{0 4112,1 34,2 2,5 k,6 k,7 7212,8 2,9 3,10 rv,11 9}
{0 5371,1 8,2 1,3 1,4 false,5 k,6 b1,7 5388,8 3,9 1,10 rv,11 8}
{0 6266,1 12,3 1,4 false,5 k,6 k,7 6882,8 2,9 3,10 rv,11 7}
{0 2448,1 4,2 1,4 false,5 k,6 b1,7 6163,8 2,9 1,10 rv,11 7}
{0 3601,1 14,2 1,5 k,6 k,7 3649,8 2,9 1,10 rv,11 8}
{0 1609,1 8,2 1,3 1,5 b2,6 b1,7 6065,8 3,9 3,10 rv,11 8}
{0 2754,1 8,2 1,3 1,4 false,5 k,6 b1,7 3793,8 2,9 1,10 rv,11 8}
{0 1045,1 100,2 4,5 k,6 b1,7 6911,8 3,9 1,10 rv,11 10}
{0 4490,1 12,2 1,3 1,4 false,5 k,6 b1,7 6829,8 2,9 1,10 rv,11 7}
