@relation HandStrength

@attribute HandStrength numeric
@attribute PotSize numeric
@attribute BetCountOpponent numeric
@attribute BetCountPlayer numeric
@attribute OpponentOnButton {true,false}
@attribute LastActionOpponent {f,k,c,b1,b2,b3}
@attribute LastActionPlayer {f,k,c,b1,b2,b3}
@attribute DeckStrength numeric
@attribute DeckPaired {true,false}
@attribute DeckSuited numeric

@data
17353584,800,0,2,false,?,c,755552,false,1
33692416,48,0,3,false,?,k,16889136,false,1
16894336,800,1,2,false,?,c,825409,false,1
33901568,572,2,2,false,?,k,17089824,false,1
17353536,72,0,4,false,?,c,754737,false,1
67305472,800,2,1,false,?,b3,816690,false,1
17519648,48,2,1,true,?,k,741904,false,1
816706,552,1,3,false,?,k,816656,false,1
34355200,192,1,4,false,?,c,820530,false,1
17087120,800,2,2,false,?,k,17086768,false,1
17349184,800,0,2,false,?,c,689185,false,1
17483568,164,1,1,false,?,c,815888,false,1
34286592,800,2,2,false,?,c,834081,false,1
17611360,224,1,4,false,?,c,833108,false,1
34170880,800,1,3,false,?,c,17401408,false,1
67764224,800,1,2,false,?,c,67764224,false,1
17611104,768,2,3,true,?,b1,824896,false,1
16956048,800,2,2,false,?,k,16955904,false,1
17156192,96,3,1,true,?,b1,820816,false,1
17091472,24,0,2,false,?,k,759360,false,1
833381,800,1,2,false,?,c,833104,false,1
17156976,72,3,1,true,?,b1,833105,false,1
17024864,800,2,1,false,?,b3,17024848,false,1
685634,36,2,1,true,?,k,484384,false,1
33966592,800,1,3,false,?,c,17073680,false,1
17611088,584,1,3,true,?,k,759056,false,1
16824944,800,1,2,false,?,c,16820016,false,1
33889280,800,2,1,false,?,b3,17156704,false,1
34223616,800,2,1,false,?,b3,17016352,false,1
17283728,800,1,2,false,?,c,694115,false,1
17213552,72,0,3,false,?,c,689713,false,1
33966336,800,2,0,false,?,b3,33966336,false,1
624211,72,3,1,true,?,k,414496,false,1
33688576,164,1,1,false,?,c,828448,false,1
34363136,48,1,2,false,?,k,17135168,false,1
16828752,24,0,2,false,?,k,807440,false,1
17156736,552,2,1,false,?,b2,829267,false,1
84641602,800,2,2,false,?,b1,17261600,false,1
17082192,48,0,3,false,?,c,676897,false,1
17287808,48,1,2,false,?,b1,821057,false,1
17017184,24,0,2,false,?,k,693296,false,1
17218160,800,1,2,false,?,c,17218160,false,1
17471552,800,1,2,false,?,c,17470496,false,1
834166,800,1,2,false,?,c,829282,false,1
764022,800,1,2,false,?,c,685651,false,1
34236672,800,1,3,false,?,c,17213824,false,1
67698688,96,2,2,true,?,k,615730,false,1
67829760,96,0,4,false,?,c,764020,false,1
17349232,800,1,2,false,?,c,763953,false,1
17343808,24,0,2,false,?,k,545842,false,1
17283456,800,0,2,false,?,c,17274928,false,1
690020,266,1,2,true,?,k,690018,false,1
759636,800,2,2,false,?,c,759104,false,1
33688320,24,0,2,false,?,k,16954624,false,1
17549952,800,2,2,false,?,c,833653,false,1
34315264,800,2,0,false,?,b3,833825,false,1
51087104,800,3,3,false,?,b1,755557,false,1
17471568,800,1,2,false,?,c,17471568,false,1
17283456,36,0,3,false,?,k,759922,false,1
33961984,48,0,3,false,?,c,554579,false,1
84439824,800,0,2,false,?,c,815888,false,1
17025952,164,1,1,false,?,c,17021504,false,1
17597760,72,1,2,false,?,b2,820545,false,1
50382848,552,1,3,true,?,k,820800,false,1
17283680,800,2,2,false,?,k,17278512,false,1
